Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
ijmsp,Journal for Manufacturing Science and Production,0793-6648,2191-0375,De Gruyter,http://www.degruyter.com/view/j/ijmsp,328,1997,1,2015,15
ijnes,International Journal of Nursing Education Scholarship,2194-5772,1548-923X,De Gruyter,http://www.degruyter.com/view/j/ijnes,358,2003,1,2015,12
ijnsns,International Journal of Nonlinear Sciences and Numerical Simulation,1565-1339,2191-0294,De Gruyter,http://www.degruyter.com/view/j/ijnsns,1280,2000,1,2015,16
ijpt,International Journal of Practical Theology,1430-6921,1612-9768,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/ijpt,389,1997,1,2015,39
ijsl,International Journal of the Sociology of Language,0165-2516,1613-3668,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/ijsl,2407,1974,,2015,
ils,Issues in Legal Scholarship,2194-5780,1539-8323,De Gruyter,http://www.degruyter.com/view/j/ils,145,2001,1,2013,11
indo,Indogermanische Forschungen,0019-7262,1613-0405,De Gruyter,http://www.degruyter.com/view/j/indo,3899,1892,1,2015,120
ins,Innovative Neurosurgery,2193-522X,2193-5238,De Gruyter,http://www.degruyter.com/view/j/ins,37,2013,1,2015,3
iprg,Intercultural Pragmatics,1612-295X,1613-365X,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/iprg,325,2004,1,2015,12
iral,IRAL - International Review of Applied Linguistics in Language Teaching,0019-042X,1613-4141,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/iral,1355,1963,1,2015,53
irm,BioInorganic Reaction Mechanisms,2191-2483,2191-2491,De Gruyter,http://www.degruyter.com/view/j/irm,144,1998,1,2013,9
islm,Der Islam,0021-1818,1613-0928,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/islm,1366,1910,1,2015,92
itit,it - Information Technology,1611-2776,2196-7032,OLDENBOURG WISSENSCHAFTSVERLAG,http://www.degruyter.com/view/j/itit,3420,1959,1,2015,57
iwp,Information - Wissenschaft & Praxis,1434-4653,1619-4292,De Gruyter,http://www.degruyter.com/view/j/iwp,203,2012,63,2015,66
jaa,Journal of Applied Analysis,1425-6908,1869-6082,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/jaa,357,1995,1,2015,21
jafio,Journal of Agricultural & Food Industrial Organization,2194-5896,1542-0485,De Gruyter,http://www.degruyter.com/view/j/jafio,182,2002,1,2015,13
jag,Journal of Applied Geodesy,1862-9016,1862-9024,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/jag,212,2007,1,2015,9
jah,Journal of Ancient History,2324-8106,2324-8114,De Gruyter,http://www.degruyter.com/view/j/jah,27,2013,1,2015,3
jall,Journal of African Languages and Linguistics,0167-6164,1613-3811,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/jall,466,1979,1,2015,36
janeh,Journal of Ancient Near Eastern History,2328-9554,2328-9562,De Gruyter,http://www.degruyter.com/view/j/janeh,12,2014,1,2015,2
jbbbl,"Journal of Biosecurity, Biosafety, and Biodefense Law",2194-590X,2154-3186,De Gruyter,http://www.degruyter.com/view/j/jbbbl,59,2011,1,2015,6
jbcpp,Journal of Basic and Clinical Physiology and Pharmacology,0792-6855,2191-0286,De Gruyter,http://www.degruyter.com/view/j/jbcpp,855,1986,1,2015,26
jbgsg,Jahrbuch für Germanistische Sprachgeschichte,1869-7038,1869-7046,De Gruyter,http://www.degruyter.com/view/j/jbgsg,91,2010,1,2015,6
jbkgv,Jahrbuch des Kölnischen Geschichtsvereins,0341-9320,2198-0675,Böhlau Verlag,http://www.degruyter.com/view/j/jbkgv,881,1912,1,2012,81
jbpa,Internationales Jahrbuch für philosophische Anthropologie,2192-4279,2192-4287,De Gruyter,http://www.degruyter.com/view/j/jbpa,106,2008,1,2015,5
jbr,Journal of the Bible and its Reception,2329-440X,2329-4434,De Gruyter,http://www.degruyter.com/view/j/jbr,21,2014,1,2015,2
jbvela,Journal of Business Valuation and Economic Loss Analysis,2194-5861,1932-9156,De Gruyter,http://www.degruyter.com/view/j/jbvela,76,2006,1,2015,10
jbwg,Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,0075-2800,2196-6842,AKADEMIE VERLAG,http://www.degruyter.com/view/j/jbwg,3498,1960,1,2015,56
jcde,Journal of Contemporary Drama in English,2195-0156,2195-0164,De Gruyter,http://www.degruyter.com/view/j/jcde,74,2013,1,2015,3
jci,Journal of Causal Inference,2193-3677,2193-3685,De Gruyter,http://www.degruyter.com/view/j/jci,29,2013,1,2015,3
jcim,Journal of Complementary and Integrative Medicine,2194-6329,1553-3840,De Gruyter,http://www.degruyter.com/view/j/jcim,313,2004,1,2015,12
jdpa,Journal of Drug Policy Analysis,2194-6337,1941-2851,De Gruyter,http://www.degruyter.com/view/j/jdpa,18,2010,3,2015,8
jdrg,Jahrbuch der Raabe-Gesellschaft,0075-2371,1865-8857,Walter de Gruyter,http://www.degruyter.com/view/j/jdrg,743,1960,1,2015,56
jeeh,Journal de Economistes et des Etudes Humaines,2194-5799,2153-1552,De Gruyter,http://www.degruyter.com/view/j/jeeh,679,1990,1,2015,20
jelf,Journal of English as a Lingua Franca,2191-9216,2191-933X,De Gruyter Mouton,http://www.degruyter.com/view/j/jelf,87,2012,1,2015,4
jem,Journal of Econometric Methods,2194-6345,2156-6674,De Gruyter,http://www.degruyter.com/view/j/jem,20,2012,1,2015,4
jemc,Journal of Early Modern Christianity,2196-6648,2196-6656,De Gruyter,http://www.degruyter.com/view/j/jemc,14,2014,1,2015,1
jetl,Journal of European Tort Law,1868-9612,1868-9620,De Gruyter,http://www.degruyter.com/view/j/jetl,119,2010,1,2015,6
jfwe,Jahrbuch für Wissenschaft und Ethik,1430-9017,1613-1142,Walter de Gruyter,http://www.degruyter.com/view/j/jfwe,324,1996,1,2015,20
jga,Jahrbuch der Göttinger Akademie der Wissenschaften,0373-9767,1868-9191,De Gruyter,http://www.degruyter.com/view/j/jga,270,2008,,2014,
jgd,Journal of Globalization and Development,2194-6353,1948-1837,De Gruyter,http://www.degruyter.com/view/j/jgd,85,2010,1,2015,6
jgmo,Jahrbuch für die Geschichte Mittel- und Ostdeutschlands,0075-2614,2191-9909,DE GRUYTER SAUR,http://www.degruyter.com/view/j/jgmo,76,2009,55,2015,60
